ticker,orig_first_date,first_real_date,leading_trimmed,raw_rows
SW,2016-07-11,2024-07-08,2010,2516
AMCR,2016-07-11,2019-06-11,734,2516
STI,2022-05-02,2023-05-12,259,1053
INFO,2024-10-10,2024-12-13,45,439
COL,2016-07-11,2016-09-02,38,1086
HWM,2016-11-01,2016-12-23,37,2436
VRT,2018-08-02,2018-09-14,30,1996
HAR,2016-07-11,2016-07-28,13,1410
DXCM,2016-07-11,2016-07-22,9,2516
BHF,2017-07-17,2017-07-27,8,2260
VNT,2020-09-24,2020-09-28,2,1456
